epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.4039,2.0712,3.31175,1.74917,0.00487,0.96429,0.42695,0.32525,1.03595,3.52258,1.19379,3.334e-05,3.334e-05,3.334e-05
2,25.6759,1.89629,3.21029,1.91323,0.00472,0.97619,0.61103,0.46296,0.81438,3.43903,1.06385,8.25248e-05,8.25248e-05,8.25248e-05
3,37.5054,1.61297,3.03801,1.61825,0.0046,0.97619,0.7701,0.54765,0.90808,3.42068,1.10212,0.000130719,0.000130719,0.000130719
4,49.5649,1.51055,2.88144,1.58999,0.00445,0.95238,0.83767,0.47554,1.04952,3.55199,1.23892,0.000177924,0.000177924,0.000177924
5,61.717,1.52188,2.52861,1.56715,0.00492,0.95238,0.82505,0.43197,1.16712,3.48615,1.28337,0.000224138,0.000224138,0.000224138
6,73.6702,1.44352,1.98984,1.55373,0.00507,0.95238,0.837,0.46236,1.2181,3.31424,1.27916,0.000269362,0.000269362,0.000269362
7,85.6205,1.62258,1.92036,1.54718,0.00486,0.95238,0.86049,0.53324,1.25342,3.20893,1.40331,0.000313596,0.000313596,0.000313596
8,97.3841,1.45673,1.65423,1.4647,0.0048,0.95238,0.84922,0.55957,1.26188,3.2105,1.48239,0.00035684,0.00035684,0.00035684
9,109.5,1.64248,1.95138,1.63245,0.00499,0.95238,0.81939,0.53049,1.25452,3.19007,1.49442,0.000399093,0.000399093,0.000399093
10,121.49,1.39992,1.58809,1.39652,0.71168,0.82143,0.81919,0.53437,1.25185,3.16141,1.44567,0.000440356,0.000440356,0.000440356
11,133.431,1.5491,1.83395,1.57628,1,0.15042,0.79814,0.52451,1.30927,2.98779,1.41902,0.000480629,0.000480629,0.000480629
12,145.643,1.37689,1.77428,1.40179,0.96234,0.25,0.80756,0.53902,1.33151,2.95276,1.46474,0.000519912,0.000519912,0.000519912
13,157.372,1.36695,1.73157,1.43088,0.96742,0.2164,0.78607,0.51635,1.54058,3.06571,1.61844,0.000558205,0.000558205,0.000558205
14,169.296,1.55326,1.81311,1.54888,0.97387,0.38854,0.78322,0.50351,1.60528,3.04156,1.63536,0.000595507,0.000595507,0.000595507
15,181.152,1.49373,1.85203,1.51566,0.80149,0.35359,0.61351,0.30065,1.80009,3.48407,2.14802,0.00063182,0.00063182,0.00063182
16,193.183,1.52702,1.65026,1.55432,0.71098,0.22837,0.45496,0.25303,1.99602,3.78482,2.58862,0.000667142,0.000667142,0.000667142
17,205.332,1.48824,1.59487,1.46663,0.46287,0.36081,0.379,0.22076,1.99217,3.94511,2.76193,0.000701474,0.000701474,0.000701474
18,217.172,1.52933,1.70058,1.54284,0.56197,0.44048,0.44373,0.25986,1.81149,4.00517,2.56249,0.000734815,0.000734815,0.000734815
19,228.886,1.56948,1.65886,1.52197,0.75002,0.60714,0.74199,0.40985,1.64906,2.7192,1.78955,0.000767167,0.000767167,0.000767167
20,240.526,1.57546,1.74682,1.65739,0.91467,0.76279,0.88969,0.43926,1.5381,2.33084,1.57617,0.000798528,0.000798528,0.000798528
21,252.005,1.48669,1.8033,1.55054,0.95743,0.77381,0.87022,0.3624,1.87551,2.47038,1.77893,0.000828899,0.000828899,0.000828899
22,263.473,1.45264,1.7412,1.54086,0.88521,0.77112,0.90128,0.38381,2.05039,2.54542,1.78172,0.00085828,0.00085828,0.00085828
23,274.939,1.55834,1.80942,1.61276,0.91341,0.77313,0.92745,0.45416,1.75097,2.34872,1.46746,0.000886671,0.000886671,0.000886671
24,286.48,1.46082,1.56613,1.51179,0.81996,0.77757,0.89382,0.49753,1.44259,2.25946,1.34009,0.000914071,0.000914071,0.000914071
25,298.03,1.44831,1.52605,1.47921,0.76307,0.77381,0.86736,0.50875,1.33891,2.29723,1.3533,0.000940481,0.000940481,0.000940481
26,309.536,1.48469,1.82219,1.59399,0.83627,0.7867,0.89303,0.47698,1.43619,2.41846,1.44602,0.000965901,0.000965901,0.000965901
27,321.33,1.58551,1.68174,1.5659,0.72949,0.7381,0.80539,0.33928,1.83375,2.59678,1.67593,0.000990331,0.000990331,0.000990331
28,332.978,1.43197,1.65291,1.50795,0.69661,0.75,0.75972,0.33495,1.7281,2.36507,1.55945,0.00101377,0.00101377,0.00101377
29,344.56,1.51472,1.74209,1.52653,0.69661,0.75,0.75972,0.33495,1.7281,2.36507,1.55945,0.00103622,0.00103622,0.00103622
30,356.401,1.64505,1.87319,1.67807,0.75696,0.65293,0.80675,0.40928,1.48569,2.2161,1.45348,0.00105768,0.00105768,0.00105768
31,368.134,1.41168,1.57504,1.47393,0.56877,0.82384,0.78723,0.4241,1.36479,2.2985,1.42697,0.00107815,0.00107815,0.00107815
32,379.684,1.4784,1.65096,1.52552,0.67867,0.84413,0.82727,0.45469,1.43767,2.82475,1.44841,0.00109763,0.00109763,0.00109763
33,391.66,1.43488,1.55154,1.45161,0.67867,0.84413,0.82727,0.45469,1.43767,2.82475,1.44841,0.00111612,0.00111612,0.00111612
34,403.765,1.43885,1.52669,1.47825,0.77778,0.82713,0.8808,0.48584,1.57553,3.2716,1.60578,0.00112239,0.00112239,0.00112239
35,415.579,1.37378,1.44486,1.43281,0.74676,0.8167,0.83688,0.43317,1.91796,4.60203,1.89777,0.00110589,0.00110589,0.00110589
36,427.328,1.61386,1.60524,1.53191,0.69202,0.7381,0.75223,0.41378,2.27425,4.47092,2.27522,0.00108938,0.00108938,0.00108938
37,439.112,1.5798,1.66448,1.5694,0.69202,0.7381,0.75223,0.41378,2.27425,4.47092,2.27522,0.00107288,0.00107288,0.00107288
38,450.841,1.53983,1.61267,1.55653,0.69939,0.78571,0.75773,0.41831,2.13122,4.25612,2.18408,0.00105638,0.00105638,0.00105638
